ID	author	year	journal	title	abstract
dce_11	Spante, M. and Hashemi, S.S. and Lundin, M. and Algers, A.	2018	Cogent Education	Digital competence and digital literacy in higher education research: Systematic review of concept use	Digital competence and digital literacy are concepts that are increasingly used in public discourse. However, how the concepts are used and how they are defined remains unclear. This paper presents a systematic review of research where these concepts are used in higher education research. The aim is to establish an understanding of referencing strategy to digital literacy and digital competence over time, disciplines, countries, methods and level of analysis. Three databases were used in the systematic literature review: Web of Science, Scopus and Education Resources Information Centre. We delimited the search to title, abstract and keywords in the databases. Inclusion criteria were peer-reviewed publications written in English. Initially 107 publications between 1997 and 2017 were found, with 28 addressing digital competence and 79 digital literacy. Our review demonstrates that there is a range of definitions used in higher education research. They vary depending on if the concepts are defined by policy, research or both and whether they focus on technical skills or social practices. This review indicates directions for further research in higher education i) do more research based on critical perspectives to avoid commonsensical use of the concepts, ii) take the development of definitions of these concepts seriously iii) avoid cross-referencing incompatibilities and finally iv) engage in critical investigations regarding the legitimacy of policy over research in the domain of higher education research. (c) 2018, (c) 2018 The Author(s). This open access article is distributed under a Creative Commons Attribution (CC-BY) 4.0 license.
dce_12	Suslo, R. and Paplicki, M. and Dopierala, K. and Drobnik, J.	2018	Family Medicine and Primary Care Review	Fostering digital literacy in the elderly as a means to secure their health needs and human rights in the reality of the twenty-first century	The rights to life and health are basic human rights but, as life spans increase and societies age, these rights become increasingly difficult to secure. The number of people needing care, nursing, and medical treatment increases - and their expectations of quality of life rise - faster than the available financial assets and workforce. The article aims at defining the influence of digital literacy of patients and digital-based medical services availability on perspectives of fulfilling health-related needs specific for ageing societies. A variety of information and communication technologies (ICT) solutions can deliver at least temporary relief to countries suffering from these problems, assuming that the potential beneficiaries are able and willing to use such methods. It is thus worthwhile to foster digital literacy, especially among middle-aged and older people. ICT-based solutions include a variety of more or less technologically advanced, sophisticated, and easy-to-use services, many of which have been in operation and common use for decades, and are thus ripe for medical application. Such technologies can create a highly complex system of interconnected electronic tools and information systems operating on sensitive medical data that must remain confidential. These systems aim to increase patients' medical safety and maximize their quality of life, but they also pose serious threats to their privacy. Confidential data are protected by legal regulations, including the recently introduced European General Data Protection Regulation (GDPR), but primary care physicians should not be discouraged by this from implementing ICT-based solutions into their practices, as they may significantly lessen their everyday workload. (c) by Wydawnictwo Continuo.
dce_13	Yusupova, N.G. and Skudareva, G.N.	2018	Astra Salvensis	New resource solutions in the development of future teacher digital literacy	The article actualizes the problem of future teacher digital literacy development by providing new resource support of this process in the conditions of the university - educational cluster, according to social challenges and social order formulated for all levels of the Russian education system. There are named crisis phenomena that inhibit the development of educational system, including professional pedagogical education. The experience of "State University of Humanities and Technology" (GGTU) (Orekhovo-Zuevo) on creation of a modern educational cluster with involvement of infrastructural, organizational, managerial, informative, teaching, methodological and personnel resources is considered. The main positions for updating the contents and methodological components of the University education are determined, namely: adjusting curricula and programs; development of the information educational environment with the use of software for students with pecial health needs; creation of innovative infrastructure through the formation of IT-pace, the creation of content zones and multifunctional information centre. The project includes an IT-Park of a teacher, whose strategic purpose is the implementation of innovative educational practices involving students and schoolchildren. Opportunities for updating the technological organization of the educational process and a new format for upgrading the teaching staff are revealed. Real possibilities for comprehension and practical application of the GGTU experience on creation of its innovation infrastructure, built-up dynamic digital education system by means of attracting a wide range of resources are offered. New resource solutions are aimed at forming the digital literay of the future teacher as a priority of the Russian educational policy. (c) 2018 Transilvanian Association for the Literarure and Culture of Romanian People (ASTRA).
dce_14	Maria, E.B.	2018	Informacios Tarsadalom	Digital competence levels of librarians working in Hungarian municipal libraries: Results of a Countrywide Representative Survey [A magyar telepulesi konyvtarakban dolgozo konyvtarosok digitalis kompetenciajanak allapota: Egy orszagos reprezentativ vizsgalat eredmenyei]	The study describes the results of the survey carried out by the Museum and Library Development for Everyone "My Library" EFOP-3.3.3.-VEKOP/16-2016-00001 project. Among other things the aim of the project is to define the role of librarians in public libraries in their implementation of library services, directed towards supporting learning, primarily in developing digital literacy and information literacy. This engagement requires librarians to have digital competences and various skills needed for carrying out their responsibilities. In order to evaluate the situation realistically, we need to map out the level of librarians' digital literacy. The project created the opportunity for conducting a representative national survey. As a result of this survey, the depth of the digital competence status of librarians working in the Hungarian municipal libraries was assessed. (c) 2018 Infonia. All rights reserved.
dce_15	Cordero, A.S.R. and Frutos, M.B.	2018	Profesorado	Digital competence and educational innovation: Challenges and opportunities [Competencia digital e innovacion pedagogica: Desafios y oportunidades]	Digital competence continues to be a challenge for pedagogic practice and educational innovation, and the integration of ICTs1 in the teaching experience. This article presents the results of research on teaching practices related to digital competence. From a qualitative approach, a multiple case study was conducted in two schools, identifying facilitators and obstacles in the process of teaching acquisition of digital competence, and delving into the attitudes and use of ICTs according to a school's structure, strategy and culture. The results indicate that the complex process of acquisition of digital competence is the main difficulty of teachers related to the management of information, the didactic use of ICTs, the evaluation of digitally mediated activities and collaboration in virtual environments. The results also point to an image of isolation in professional development, hampering the exchange of experiences and meanings, and the perception of benefit and confidence in the use of ICTs. Teachers demand a training more consistent with their teaching needs. In relation to this, in-school project-based learning work has been recognized as a good practice. It was concluded that there is a need to reduce the gap between the desired digital competence and the actually acquired one by developing autonomous, collaborative, and prolonged training experiences that promote reflective practice and school innovation. (c) 2018 Grupo de Investigacion FORCE. All rights reserved.
dce_16	Rodriguez, M.D.M. and Mendez, V.G. and Martin, A.M.R.	2018	Profesorado	Informational literacy and digital competence in teacher education students [Alfabetizacion informacional y competencia digital en estudiantes de magisterio]	Spain is one of the largest consumers of digital content worldwide, especially audiovisual content shared on social networks, but the media and information literacy of its citizens is still insufficient. In addition, there are many studies showing that there is a training gap on this subject at the university level. Therefore, this study aimed to analyze future Early Childhood and Primary education graduates' perception regarding digital literacy in order to identify their shortfalls and assess their level of competence in media literacy in conjunction with digital literacy. As reference standards, we used the <<Marco Comun de Competencia Digital Docente>> by the Instituto Nacional de Tecnologias Educativas and the <<Orientacion Normativa y Estrategica de la Alfabetizacion Mediatica e Informacional>> by UNESCO. From that point, an online questionnaire was implemented as an instrument for the development of this study. The results showed that Universidad Internacional de Valencia's education students have an advanced level of competence in the areas of information, communication and audiovisual content creation, which ensures good media, information literacy and digital competences. They showed to have, however, poorer safety and technological innovation skills. Likewise, the future teachers' personal perception about their digital competence is higher than the actual findings of this research show. (c) 2018 Grupo de Investigacion FORCE. All rights reserved.
dce_17	Abad Alcala, L.	2016	Prisma Social	Digital literacy as a tool for e-inclusion of the elderly [La alfabetizacion digital como instrumento de e-inclusion de las personas mayores]	Starting from the existence of a generational digital divide as we show in the introduction, the training of elderly in the resources offered by the Information Society becomes essential to achieve its e-inclusion. We perform a theoretical approach to the concept of digital literacy showing what their common parameters. From these parameters of use and exploitation of ICT, a tour is made by various studies on the psycho-social characteristics of the elderly in ICT learning. The findings suggest some adaptations in pedagogical ICT training of seniors through a series of recommendations to value the peculiarities of this social group in their learning processes.
dce_18	Hobbs, R. and Coiro, J.	2016	Journal of Adolescent and Adult Literacy	Everyone Learns from Everyone: Collaborative and Interdisciplinary Professional Development in Digital Literacy	Hobbs and Coiro describe a new approach to the professional development of educators, librarians, and media professionals that emphasizes the value of collaborative, interdisciplinary relationships. The authors explore why creative collaboration using digital media texts, tools, and technologies is vital to support the professional development of educators. Creative collaboration experiences generate personally meaningful, transformative learning by promoting personal reflection in a social context. It is important to provide cognitive and emotional support for the risk-taking cycles of experimentation and trial-and-error process that is essential for learning to use digital tools. By using inquiry learning practices through collaborative and creative media production, adult learners thrive by taking on distinct and enmeshed roles that inevitably involve creative tension that stimulates and energizes innovation. (c) 2016 International Literacy Association. Hobbs and Coiro describe a new approach to the professional development of educators, librarians, and media professionals that emphasizes the value of collaborative, interdisciplinary relationships. The authors explore why creative collaboration using digital media texts, tools, and technologies is vital to support the professional development of educators. Creative collaboration experiences generate personally meaningful, transformative learning by promoting personal reflection in a social context. It is important to provide cognitive and emotional support for the risk?taking cycles of experimentation and trial?and?error process that is essential for learning to use digital tools. By using inquiry learning practices through collaborative and creative media production, adult learners thrive by taking on distinct and enmeshed roles that inevitably involve creative tension that stimulates and energizes innovation. Of course, creative partnerships are vital to the work of scholars and teachers with interests in digital and media literacy. Yet, because reading and writing practices are sometimes conceptualized as solo enterprises, we may practice collaboration without giving it the theoretical examination or bandwidth it deserves. Collaboration as both a creative media production practice and an instructional strategy for professional development is still undertheorized and understudied in education. In this commentary, we describe why creative collaboration with digital media texts, tools, and technologies is vital to support the professional development of educators. Because of our shared belief that collaboration through inquiry and media making can generate personally meaningful, transformative learning experiences, we created the Summer Institute in Digital Literacy and the Graduate Certificate in Digital Literacy. We wanted educators, librarians, and media professionals to learn from and with one another, using inquiry practices in the design of transformative learning experiences with digital media and technology. This was important to us in designing the summer institute, and it is also why work with a dyad partner is so important for our approach to professional development in digital and media literacy. During the week, we help participants reflect on their particular styles of collaboration and the habits of mind that best support their own ability to learn with and about digital media. Participants come together to design an instructional unit that addresses a particular learning context, creating at least two forms of multimedia for use in that unit using digital tools that they have learned at the institute. We scaffold instructional design using the digital literacy curriculum framework, which we call the flower model (see Figure <link href=jaal502-fig-0001>). It offers a systematic approach to curriculum development by inviting educators to consider these six elements as they design learning experiences:Context: Start by reflecting deeply on the needs of the learner, considering the context, the community, and your own values and priorities as an educator. Teaching and learning are social practices that are situational and contextual.Purpose: Identify the learning outcomes, standards, or goals of your curriculum.Content: What resources will you use? How will you use print, visual, sound, or digital media texts and tools?Pedagogy: What instructional practices will shape what happens during the learning process?Assessment: What work products will students create? What criteria will be used to assess student learning?Task or activity: What compelling question or scenario will you use to connect your learning tasks to the real world? This component emerges as a creative idea but gets refined and developed by considering the other five elements of the model. As partners inevitably recognize as they work together during the week, the differences between them are a fertile source of creative energy. For example, in 2014, Amanda Murphy, a high school social studies teacher from Rhode Island, collaborated with Kara Clayton, a high school media teacher from suburban Detroit, Michigan. During the summer institute, they developed a project idea: to explore how to best help students use cell phones to support learning. During the 2014-2015 academic year, Amanda and Kara identified the gaps in students' knowledge and skills in the use of cell phones for learning. They discovered that although students use cell phones for social interaction, they are unfamiliar with the many productivity tools that can support their academic work. Then, students identified topics to learn about and worked to create short video tutorials (e.g., how to record a voice memo, set up a calendar notification, scan a document). Finally, students in Michigan and Rhode Island viewed one another's completed videos and offered feedback on them for potential revision. The teachers were pleased that their collaboration helped students extend the authentic audience for their tutorial videos beyond the walls of their school. One thing is certain: Although we both want to support teachers in advancing these practices in K-12 and higher education, we do not want these ideas to get oversimplified into a silly checklist, as sometimes happens in education. Given how fast technology and media are changing, what instructional strategies best prepare people for an unknowable future? Second, dyads provide cognitive and emotional support for the process of learning to use digital tools. Most participants identified themselves as beginning? or intermediate? level users of digital media and technology. Some arrive with fears and anxieties that their skills are not adequate. During the week, participants have many opportunities for low? stakes exploration of digital tools. They have many opportunities to experience success. Quantitative and qualitative evidence from the program evaluation has helped us learn that participants appreciated the mix of theory and time for hands? on exploration; they valued the opportunity to choose which digital skills to develop and to have time for using, exploring, and creating (Hobbs, Coiro, Friesem, Viens, & Jaffee, <link href=jaal502-bib-0003>). Having a partner nearby and being able to rely on other people to help with problem solving when experiencing challenges can be helpful in dealing with the frustration that can occur when learning to use new digital tools. Third, dyads support the cycles of risk taking, experimentation, creative iteration, and rapid prototyping, which are key parts of the creative design process. Ideas grow out of shared conversation (Riverdale Country School & IDEO, <link href=jaal502-bib-0006>). We give teachers enough time to get to know each other while learning new digital tools and new pedagogical approaches. We model and scaffold a variety of versatile instructional strategies during the day. Having a dyad partner to share ideas with and explain what has been learned creates repeated opportunities for practice. We surround them with people who have expertise using digital tools, texts, and technologies. Most importantly, participants see us engaged in problem solving when things do not go as planned. Because we demonstrate the ability to work through the inevitable challenges and snafus that occur when using digital media and technology for learning, we think this helps build teacher confidence.
dce_19	Lewis Ellison, T.	2016	Journal of Adolescent and Adult Literacy	Artifacts as Stories: Understanding Families, Digital Literacies, and Storied Lives	This column focuses on the interactions during family and group conversation circles that not only helped participants talk about personal, emotional, and social issues in their digital stories but also helped them make sense of artifacts and the meanings that stories carry in shared spaces and practices. This work adds to the bourgeoning dimensions of today's family structures and changing practices in digital literacy research. In addition, it introduces artifactual literacies as a theory that signifies how artifacts are infused with meanings and mediated in everyday literacies vis-a-vis stories and texts. (c) 2016 International Literacy Association.
dce_20	Cappuccio, G. and Compagno, G. and Pedone, F.	2016	Journal of E-Learning and Knowledge Society	Digital competence for the improvement of special education teaching	The increasing digitization and globalization of the media, the broad diversification of media products, with the value-and ethical issues that it raises, proposes and confirms the reasons why media education is to be considered as an indispensable task for anyone involved in education. Thanks to specific educational interventions and appropriate evaluation tools for self-assessment, future educators should be helped to acquire the appropriate media skills necessary to develop the capacity to responsibly and autonomously choose proper media to design their media education courses. The media competence enhances teachers' ability to creatively modify learning spaces and to design a variety of stimulating activities in order to promote their pupils' independent and aware work. This paper describes the research for the development of three digital skills, in the Academic Year 2014/2015 with 91 in service teachers attending their special education teaching qualification course at the University of Palermo. Teachers have been involved for 75 hours in experiencing a training methodology for the promotion of media skills necessary to design paths of media education. (c) 2016, Italian e-Learning Association. All rights reserved.
dce_21	Rossi, T. and Bordin, A.M. and De Cicco, D.	2016	Journal of E-Learning and Knowledge Society	Digital competence in Italian higher music education	In the past, the encounter between music and technological innovation was capable of making profound changes in the art itself and in social life. Today the passage from the possession of digital skills that characterizes our time to their use in the disciplinary sector of the teaching of music and instruments in higher musical education in Italy means reviewing the professionalism of the musician and his role as a teacher, with an emphasis on the artistic responsibility inherent in the welcoming of digital technologies and their exponential development, that we cannot help but think will reserve fresh future conquests, alongside the established knowledge and methodologies of music teaching at the highest levels. (c) 2016, Italian e-Learning Association. All rights reserved.
dce_22	Maderick, J.A. and Zhang, S. and Hartley, K. and Marchand, G.	2015	Journal of Educational Computing Research	Preservice Teachers and Self-Assessing Digital Competence	This study compares matched surveys of subjective self-assessment and objective assessment on seven domains of digital competence for preservice teachers at a large Southwest public university. The results, consistent with earlier studies, confirm that the participating preservice teachers inaccurately self-assessed their digital competence. The study concluded that subjective self-assessment lacks appropriate validity and is not an accurate stand-alone predictor of digital competence among preservice teachers. However, if considered in conjunction with other means, self-assessment may prove to be useful for preservice teachers to aid in their reflection of their competence, skills, and knowledge and to aid them in adjusting their perceptions and attitudes regarding technology throughout their professional practice. In addition, self-assessment in conjunction with other means may assist teacher educators in providing opportunities to improve the competence in teacher training programs. (c) 2016 The Author(s).
dce_23	Jacobs, G.E. and Castek, J. and Pizzolato, A. and Reder, S. and Pendell, K.	2014	Journal of Adolescent and Adult Literacy	Production and consumption: A closer look at adult digital literacy acquisition	In this column, the authors discuss emerging research in the field of adult digital literacy acquisition. The authors argue that the field of adult digital literacy acquisition has been under-researched, especially in relation to multiliteracies and multimodal literacy practices. Data emerging from a large scale mixed methods study of adults engaged with Learner Web, a self-access online learning system, indicate that opportunities to engage in tutor-facilitated digital literacy acquisition, among populations that have been historically left out of the digital revolution, have the potential to change lives. Additionally, the research provides insights into the shifts learners undergo as they gain experience and confidence with digital tools, which can help educators develop more robust systems for supporting vulnerable learners who are outside of the traditional educational system. (c) 2014 International Reading Association.
dce_24	Instefjord, E.	2014	Nordic Journal of Digital Literacy	Appropriation of digital competence in teacher education	The aim of the article is to explore opportunities for appropriation of digital competence in teacher education. Digital competence is knowledge, skills and attitudes required in order to use technology critically and reflectively in the process of building new knowledge. According to Wertsch learning to use a cultural artefact is characterized by two processes: mastery and appropriation. The article reports from a case study of two teacher education institutions. Findings indicate that the same challenges are found in both institutions: the conflict between mastery and appropriation, and between personal and educational use of technology, and the resistance towards technology among some teacher educators. The results signify that in order to create opportunities for appropriation of digital competence and encourage use of technology as part of pre-service teachers' professional didactic competence, technology should be better integrated as pedagogical tools for teaching and learning in all subjects in the teacher education programmes. (c) Universitetsforlaget Nordic Journal of Digital Literacy.
dce_25	Johannesen, M. and Ogrim, L. and Giaever, T.H.	2014	Nordic Journal of Digital Literacy	Notion in motion: Teachers' digital competence	The aim of this article is to shed critical light on the prevailing understanding of digital competence in schools and teacher education. There seems to be an emphasis on how to practice teaching with ICT throughout the Norwegian educational system. This article discusses and elaborates on the current approach, and argues for understanding digital competence from a broader perspective, by suggesting a framework for the notion of digital competence for teachers. This approach stresses teaching of, about, and with ICT. (c) Universitetsforlaget Nordic Journal of Digital Literacy.
dce_26	Rokenes, F.M. and Krumsvik, R.J.	2014	Nordic Journal of Digital Literacy	Development of student teachers' digital competence in teacher education	This article is a literature review of online peer-reviewed empirical studies from 2000 to 2013 regarding the development of digital competence of student teachers in teacher education qualified to teach in the secondary school grade level. The purpose of the review is to showcase and establish knowledge about empirical research on ICT-training in teacher education, and contribute with an overview of approaches for researchers, teacher educators, and policymakers on how teacher education develop student teachers' digital competence for the secondary school grade level. A total of 42 studies met the inclusion criteria and were included in the review. Based on a thematic analysis of the studies, including coding and categorization strategies, eight approaches were identified: collaboration, metacognition, blending, modeling, authentic learning, student-active learning, assessment, and bridging theory/practice gap. The approaches consider ways that teacher education programs promote student teachers' digital competence, and educate them in professionally using ICT for their future use in school and classroom teaching in secondary education. (c) Universitetsforlaget Nordic Journal of Digital Literacy.
dce_27	Lund, A. and Furberg, A. and Bakken, J. and Engelien, K.L.	2014	Nordic Journal of Digital Literacy	What does professional digital competence mean in teacher education?	The focus of this position paper is on the conceptualization of professional digital competence (PDC) in the teaching profession and its consequences for teacher education. The aim is to establish a concept that captures, challenges, and possibilities related to teaching and learning in technology-rich settings. By using three school subjects as cases, we argue the necessity of viewing PDC as comprising a deep understanding of technology, knowledge of students' learning processes, and an understanding of the specific disciplinary practices and features characterizing individual school subjects. (c) Universitetsforlaget Nordic Journal of Digital Literacy.
dce_28	Allardyce Irvine, L.	2013	Library Review	Information Services and Digital Literacy: In Search of the Boundaries of Knowing	
dce_29	Comba, V.	2011	Journal of E-Learning and Knowledge Society	Net generation and digital literacy: A short bibliographical review and some remarks	A far reaching discussion on the net generation and the need to update teaching methods has been ongoing for a while. A large number of papers on this topic have been published. The most relevant reviews point out that by and large the use of social networks by the net generation does not mean that young people has natural digital skills/competencies they apply in the learning activities. The present brief review discusses the relevant literature considering the various definitions of "digital literacies". In particular an JISC study "Thriving in the 21st century. Learning Literacies for the Digital Age" (LLiDA Project) is cited, because of its approach to a very detailed definition of learning literacies. Moreover, in spite of them making use of the most recently available sources like Wikipedia recent papers have shown that the search and reading approach of the net generation - lacks selection criteria and quality.
dce_30	Ertl, B. and Helling, K.	2011	Journal of Educational Computing Research	Promoting gender equality in digital literacy	This article deals with gender phenomena in the context of digital literacy. Studies show that computer use, computer skills, and computer-related self-concepts are subject to gender differences. These differences may affect classroom interactions as well as learning processes and have therefore to be considered carefully by teachers who apply computer supported learning. This article presents a quantitative study to illustrate particular fields affected from gender differences. Furthermore, a qualitative study reveals students' perceptions of gender differences. The article presents four dimensions that may help teachers to analyze origins of emerging gender inequalities and closes with suggestions for facilitation methods. (c) 2011, Baywood Publishing Co., Inc.
dce_31	Xavier, A.C.	2011	Calidoscopio	Digital literacy: Impacts of technology on learning from Generation Y [Letramento digital: Impactos das tecnologias na aprendizagem da Geracao Y]	This article reports the results of a research project whose purpose was to understand the form of acquisition of digital literacy by Generation Y. The project goal was to identify how this new generation learns and uses Digital Technologies of Information and Communication (TDIC) in and out of school. It also sought to analyze how the domain of such technologies affects such generation's performance in school. The digital literacy is understood here as a set of skills to read, write and interact with other people, mediated by digital technology devices, whose acquisition by Generation Y occurs at home, still in infancy. A questionnaire about socio-economic and technological development was applied, and the participants (children and adolescents aged 9 to 14) were filmed when performing learning activities in the school computer lab in order to observe what were their technological skills. The results indicated that exposure to early technological equipment makes the acquisition of digital literacy by Generation Y as natural as learning to walk and talk and bring in positive impacts on its school learning. (c) 2011 by Unisinos.
dce_32	McWilliam, K. and Hartley, J. and Gibson, M.	2008	Media International Australia	Introduction: Digital literacy	This issue of MIA is based on several of the papers presented at the Digital Literacy and Creative Innovation in a Knowledge Economy symposium held by the ARC Centre of Excellence for Creative Industries and Innovation at QUT and the ARC Cultural Research Network in March 2007. The articles in this issue consider how the rapid development of digital technologies has changed the production and consumption of media content, altering the very nature of the relationship between 'producers' and 'consumers'.
dce_33	Fluckiger, C.	2008	Revue Francaise de Pedagogie	The school to the test of digital literacy of students [L'ecole a l'epreuve de la culture numerique des eleves]	
